VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Fallopian_Tube	COVAR	17342	-0.020742	-0.040234	0.0075105	0.99712	Fallopian_Tube	f680.3	Rent social housing	1	FALSE	Fallopian Tube
Heart_Atrial_Appendage	COVAR	17342	0.0016309	0.0029282	0.0060815	0.39428	Heart_Atrial_Appendage	f680.3	Rent social housing	1	FALSE	Heart Atrial Appendage
Heart_Left_Ventricle	COVAR	17342	0.0019088	0.0031867	0.0057822	0.37066	Heart_Left_Ventricle	f680.3	Rent social housing	1	FALSE	Heart Left Ventricle
Kidney_Cortex	COVAR	17342	-0.0081761	-0.014368	0.0057021	0.92419	Kidney_Cortex	f680.3	Rent social housing	1	FALSE	Kidney Cortex
Kidney_Medulla	COVAR	17342	-0.0080294	-0.014848	0.0058567	0.9148	Kidney_Medulla	f680.3	Rent social housing	1	FALSE	Kidney Medulla
Liver	COVAR	17342	-0.0038475	-0.0069279	0.0040451	0.82923	Liver	f680.3	Rent social housing	1	FALSE	Liver
Lung	COVAR	17342	-0.015818	-0.030579	0.0058433	0.9966	Lung	f680.3	Rent social housing	1	FALSE	Lung
Minor_Salivary_Gland	COVAR	17342	-0.013377	-0.024897	0.0061267	0.98549	Minor_Salivary_Gland	f680.3	Rent social housing	1	FALSE	Minor Salivary Gland
Muscle_Skeletal	COVAR	17342	0.0014412	0.0027263	0.004383	0.37115	Muscle_Skeletal	f680.3	Rent social housing	1	FALSE	Muscle Skeletal
Nerve_Tibial	COVAR	17342	-0.014	-0.028176	0.0064502	0.98501	Nerve_Tibial	f680.3	Rent social housing	1	FALSE	Nerve Tibial
Ovary	COVAR	17342	-0.0043389	-0.0087945	0.006158	0.75946	Ovary	f680.3	Rent social housing	1	FALSE	Ovary
Pancreas	COVAR	17342	-0.0016126	-0.0026966	0.0053286	0.61891	Pancreas	f680.3	Rent social housing	1	FALSE	Pancreas
Pituitary	COVAR	17342	0.0049476	0.0092221	0.0056844	0.19205	Pituitary	f680.3	Rent social housing	1	FALSE	Pituitary
Prostate	COVAR	17342	-0.01388	-0.026332	0.007545	0.96708	Prostate	f680.3	Rent social housing	1	FALSE	Prostate
