VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Prostate	COVAR	17349	0.0023912	0.0045377	0.0082789	0.38636	f680.4	Rent private housing	1	FALSE	Prostate
Salivary_Gland	COVAR	17349	0.010017	0.01865	0.0065132	0.062032	f680.4	Rent private housing	1	FALSE	Salivary Gland
Skin	COVAR	17349	0.0084783	0.016173	0.0060432	0.080327	f680.4	Rent private housing	1	FALSE	Skin
Small_Intestine	COVAR	17349	0.0010653	0.0019597	0.0064521	0.43443	f680.4	Rent private housing	1	FALSE	Small Intestine
Spleen	COVAR	17349	0.0029482	0.0058443	0.0047425	0.26709	f680.4	Rent private housing	1	FALSE	Spleen
Stomach	COVAR	17349	-0.0039679	-0.0072108	0.0082232	0.68528	f680.4	Rent private housing	1	FALSE	Stomach
Testis	COVAR	17349	-0.0021514	-0.003716	0.0033255	0.74116	f680.4	Rent private housing	1	FALSE	Testis
Thyroid	COVAR	17349	0.0024044	0.0047626	0.0064829	0.35536	f680.4	Rent private housing	1	FALSE	Thyroid
Uterus	COVAR	17349	-0.010956	-0.022326	0.007221	0.93539	f680.4	Rent private housing	1	FALSE	Uterus
Vagina	COVAR	17349	0.014782	0.028277	0.0076083	0.026027	f680.4	Rent private housing	0.676702	FALSE	Vagina
Adipose_Tissue	COVAR	17345	-0.020648	-0.040539	0.0088292	0.99031	f884	Moderate physical activity frequency	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17345	0.0068336	0.013191	0.0067443	0.15548	f884	Moderate physical activity frequency	1	FALSE	Adrenal Gland
Bladder	COVAR	17345	-0.001923	-0.0037484	0.01059	0.57205	f884	Moderate physical activity frequency	1	FALSE	Bladder
Blood	COVAR	17345	0.0024231	0.0043526	0.0040567	0.27515	f884	Moderate physical activity frequency	1	FALSE	Blood
Blood_Vessel	COVAR	17345	-0.0031934	-0.0064801	0.0076958	0.66091	f884	Moderate physical activity frequency	1	FALSE	Blood Vessel
Brain	COVAR	17345	0.017203	0.029877	0.00451	6.8495e-05	f884	Moderate physical activity frequency	0.00178087	TRUE	Brain
