"","X","term","estimate_AF","std.error_AF","statistic_AF","p.value_AF","estimate_CAD","std.error_CAD","statistic_CAD","p.value_CAD","estimate_COPD","std.error_COPD","statistic_COPD","p.value_COPD","estimate_T2D","std.error_T2D","statistic_T2D","p.value_T2D","estimate_f.50.0.0","std.error_f.50.0.0","statistic_f.50.0.0","p.value_f.50.0.0","estimate_f.4080.0.0","std.error_f.4080.0.0","statistic_f.4080.0.0","p.value_f.4080.0.0","estimate_f.21001.0.0","std.error_f.21001.0.0","statistic_f.21001.0.0","p.value_f.21001.0.0","estimate_f.30740.0.0","std.error_f.30740.0.0","statistic_f.30740.0.0","p.value_f.30740.0.0","estimate_f.30760.0.0","std.error_f.30760.0.0","statistic_f.30760.0.0","p.value_f.30760.0.0","estimate_f.30690.0.0","std.error_f.30690.0.0","statistic_f.30690.0.0","p.value_f.30690.0.0","estimate_f.30870.0.0","std.error_f.30870.0.0","statistic_f.30870.0.0","p.value_f.30870.0.0","estimate_fev1_inst1","std.error_fev1_inst1","statistic_fev1_inst1","p.value_fev1_inst1","category","fieldname"
"59","24018","f.24018.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00392957290133427,0.000609129281520636,-6.45113118109253,1.11953021162399e-10,NA,NA,NA,NA,"residential air pollution","Nitrogen dioxide air pollution; 2007"
"60","24019","f.24019.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13820288716158,0.0123243935202925,11.2137677958777,3.72846451301648e-29,-0.42440782671653,0.0273958532745184,-15.4916812578816,4.8681669603822e-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0109714141376752,0.00166149381778051,-6.6033433409528,4.04763396202845e-11,NA,NA,NA,NA,-0.00352574338261937,0.00138662322981653,-2.54268304958794,0.0110030649718077,"residential air pollution","Particulate matter air pollution (pm10); 2007"
"61","31","f.31.0.0Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5194258420179,55.378134200571,0.460821336984566,0.64492844288593,-593.048194334345,149.148364517211,-3.97622995232984,7.00875493166185e-05,-29.1220175275613,40.2530291942141,-0.723473937503001,0.469391750221267,-102.315013326172,9.25398618315301,-11.0563179262616,2.16152958752595e-28,-18.8898870393127,3.16057835505396,-5.9767184727778,2.29126635881276e-09,24.3974044628243,9.07946387035324,2.68709747747199,0.00720924282679166,38.1536641021641,9.31808582415399,4.09458174373792,4.23545351574886e-05,-5.76139264180267,5.06175866419686,-1.13821954463268,0.255033507897172,NA,NA
"62","31","f.31.0.0.L",0.519464536394282,0.0274690361163928,18.9109124249277,9.27382227570034e-80,0.807071579035685,0.0357034669566929,22.6048517925342,3.88277369276083e-113,0.0690855567209083,0.0370116078197937,1.86659161248222,0.0619586397809984,0.359987357385299,0.0311390788843157,11.5606296102297,6.522876334585e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","31","f.31.0.0Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2427005145006,55.3785101247339,0.221073129033722,0.82503623602703,-598.596551697424,149.149897372015,-4.01338896133722,5.99161443678898e-05,-29.7294216620879,40.2532263052035,-0.73855997123502,0.460177300629348,-102.393968908515,9.25409979695963,-11.0647141434714,1.9686977093524e-28,-18.5798263978358,3.16059052444403,-5.87859333695376,4.16236763129248e-09,24.7970266054723,9.07948696573376,2.73110437837038,0.00631378056787138,37.7828074611595,9.31807627195227,4.05478624111363,5.02503889074419e-05,-6.72271914935235,5.06175468342973,-1.32814005612717,0.184137054440899,NA,NA
"64","34","f.34.0.0",-0.110904284388288,0.00396134562837241,-27.9966190261097,1.78630754906833e-172,-0.0776637709403172,0.00441238017604379,-17.6013325782711,2.40596004062986e-69,-0.0916878363470447,0.00538708398148654,-17.0199381821673,5.84322885671794e-65,-0.0535660418583372,0.00381021568173635,-14.058532726926,6.8287381494332e-45,0.121585555985126,0.00472770489365268,25.7176703538252,4.4588841750487e-145,-0.65269650930841,0.0128886169345396,-50.6413149388653,0,-0.0236873634544828,0.00352699988487247,-6.71600913742002,1.88528372859069e-11,-0.0120711750203666,0.000790863143341219,-15.2632919134006,1.64494691650213e-52,-0.00313507730115671,0.000268552908424296,-11.6739651771095,1.89220118470519e-31,-0.0151605140567953,0.000758561418123275,-19.9858754935141,1.27123558900643e-88,-0.00726324822359121,0.000765767801377063,-9.48492246674498,2.52009158108162e-21,0.0336024818642309,0.000435233129196865,77.2057079529711,0,NA,NA
"65","6138","f.6138.0.0None of the above",NA,NA,NA,NA,0.291565462963712,0.0653869336163551,4.45907839438404,8.23128132624749e-06,0.54304490496041,0.0839417444176508,6.46930688333685,9.84534659076962e-11,0.319268981846926,0.0634930564377403,5.02840782535006,4.94569147390716e-07,-1.93551978856278,0.0905383234958529,-21.3779062150564,5.06760599181807e-101,1.88270149075131,0.235480230861394,7.9951573168768,1.31393077173501e-15,0.629720081734718,0.0649620137577476,9.69366627215456,3.33820821423075e-22,NA,NA,NA,NA,-0.0437450762662872,0.00513798478207607,-8.5140532955435,1.72282805409274e-17,-0.0494503514492269,0.0137661273176238,-3.59217594812734,0.000328146132261339,0.0479976811056084,0.0151210878171944,3.17422143736441,0.00150323172620724,-0.1196022671802,0.00815137864687913,-14.672642795951,1.17947131224179e-48,"education","Qualifications"
"66","6138","f.6138.0.0Other professional qualifications eg: nursing, teaching",NA,NA,NA,NA,0.156204460795386,0.101915219343231,1.53269022823096,0.125352197988942,0.426148293396947,0.120634870965544,3.53254651815115,0.000411577808718306,0.13524001576635,0.0935016894825982,1.44639114560085,0.148067523935286,-0.86183170442949,0.119541448547669,-7.20948018365215,5.68179414531594e-13,1.07441933775314,0.328128636329608,3.27438455165453,0.0010594439998433,0.742742255145003,0.0845257274841477,8.78717376652333,1.57564792542554e-18,NA,NA,NA,NA,-0.0293287591871091,0.00691548256272688,-4.24102857914579,2.22874420110412e-05,-0.00694321080271445,0.0194612764966844,-0.356770574833432,0.721264609460851,0.0820463578191667,0.0197516899413163,4.15389053103467,3.27370917731689e-05,-0.0629148886422824,0.0107280640847335,-5.86451461748936,4.52875806521968e-09,"education","Qualifications"
"67","6138","f.6138.0.0Prefer not to answer",NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"education","Qualifications"
"68","6138","f.6138.0.0NVQ or HND or HNC or equivalent",NA,NA,NA,NA,0.281345788166395,0.0832490694734475,3.37956676207812,0.000726001722818582,0.375120843838178,0.108363118331196,3.46170218811603,0.000536770763427038,0.331853559844445,0.0764093421318623,4.34310191117408,1.40484924661589e-05,-1.47996411495207,0.109115669344041,-13.5632592811739,7.61134674366376e-42,1.96230051738897,0.297551181394441,6.59483356171823,4.28786190816075e-11,0.853737122776811,0.0779195648657043,10.9566464372362,6.58668043924366e-28,NA,NA,NA,NA,-0.0412455534553566,0.00632427257739987,-6.52178617391505,7.00976369187025e-11,-0.0343665064889914,0.017747933243218,-1.93636667537747,0.0528267070963342,0.0929146152038144,0.0181792529169037,5.11102494852355,3.21504262291868e-07,-0.0876644834546296,0.00990918082185699,-8.84679420333771,9.25319074121037e-19,"education","Qualifications"
